"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"SSR_ACA1";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"SSR_ACA2";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"SSR_ACA3";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"SSR_ACA4";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"SSR_ACA5";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"SSR_ACB1";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"SSR_ACB2";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"SSR_ACB3";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"SSR_ACB4";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"SSR_ACB5";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"SSR_IN1";"";"KK-156-2";"KK-156-2";"KK 156 HEADER";"";"";"unknown";"unknown";
"SSR_IN2";"";"KK-156-2";"KK-156-2";"KK 156 HEADER";"";"";"unknown";"unknown";
"SSR_IN3";"";"KK-156-2";"KK-156-2";"KK 156 HEADER";"";"";"unknown";"unknown";
"SSR_IN4";"";"KK-156-2";"KK-156-2";"KK 156 HEADER";"";"";"unknown";"unknown";
"SSR_IN5";"";"KK-156-2";"KK-156-2";"KK 156 HEADER";"";"";"unknown";"unknown";
"T1";"BC328";"BC328";"TO92";"NPN Transistor";"";"";"";"";
"T2";"BC328";"BC328";"TO92";"NPN Transistor";"";"";"";"";
"T3";"BC328";"BC328";"TO92";"NPN Transistor";"";"";"";"";
"T4";"BC328";"BC328";"TO92";"NPN Transistor";"";"";"";"";
"T5";"BC328";"BC328";"TO92";"NPN Transistor";"";"";"";"";
"X1";"";"KK-156-8";"KK-156-8";"KK 156 HEADER";"";"";"unknown";"unknown";
